,YearMonth,Energy_from_RE (MU),CO2 (Kilo Tonnes),Monthly_Energy_Intensity (MU/Bill_USD),Monthly_GDP(Bill_USD)
30,2015-09-01,15947,353.256,542.574170822261,175.29916666666668
31,2015-10-01,10657,242.712,538.8496807838029,175.29916666666668
32,2015-11-01,8573,188.94,484.2127981213069,175.29916666666668
33,2015-12-01,8040,175.572,493.54370385864166,175.29916666666668
34,2016-01-01,7753,172.556,475.83493114868395,191.23333333333335
35,2016-02-01,7415,161.292,444.6599267910057,191.23333333333335
36,2016-03-01,7641,167.064,435.20080181279405,191.23333333333335
37,2016-04-01,10771,233.676,532.7904828307478,191.23333333333335
38,2016-05-01,15698,325.428,524.9764685375632,191.23333333333335
39,2016-06-01,18554,377.448,511.78263900993545,191.23333333333335
40,2016-07-01,22413,463.284,504.5579571204462,191.23333333333335
41,2016-08-01,25503,532.92,511.4354192086456,191.23333333333335
42,2016-09-01,20615,434.028,516.3587240718145,191.23333333333335
43,2016-10-01,14937,345.72,509.3887048980303,191.23333333333335
44,2016-11-01,9270,222.652,473.587937946662,191.23333333333335
45,2016-12-01,9053,213.112,484.6173958514903,191.23333333333335
46,2017-01-01,8521,195.22,372.97499123127926,220.95583333333332
47,2017-02-01,9985,231.404,402.2075301625137,220.95583333333332
48,2017-03-01,11590,275.248,455.36973829611503,220.95583333333332
49,2017-04-01,15110,344.236,451.97992057236183,220.95583333333332
50,2017-05-01,19923,452.74,503.8097357314999,220.95583333333332
51,2017-06-01,23699,498.968,468.7488826952597,220.95583333333332
52,2017-07-01,25356,524.94,436.48768419027937,220.95583333333332
53,2017-08-01,24331,585.384,461.7316432016957,220.95583333333332
54,2017-09-01,20329,715.456,444.3747807819813,220.95583333333332
55,2017-10-01,16313,582.952,442.55586523701953,220.95583333333332
56,2017-11-01,11856,457.344,413.36405842796637,220.95583333333332
57,2017-12-01,14196,627.544,425.9181510633725,220.95583333333332
58,2018-01-01,12736,539.184,446.8319934293527,225.24416666666664
59,2018-02-01,12120,539.68,408.46518407801904,225.24416666666664
60,2018-03-01,14162,625.168,457.21139652155256,225.24416666666664
61,2018-04-01,14947,657.528,450.78015338910006,225.24416666666664
62,2018-05-01,20031,847.184,486.0520990184726,225.24416666666664
63,2018-06-01,33534,1448.336,598.4470186057354,225.24416666666664
64,2018-07-01,22913,976.312,347.45716685226773,225.24416666666664
65,2018-08-01,33230,1362.92,487.31472883130533,225.24416666666664
66,2018-09-01,27577,1027.968,489.7858250121165,225.24416666666664
67,2018-10-01,19495,745.92,490.0264527753217,225.24416666666664
68,2018-11-01,14925,627.96,431.4495750907349,225.24416666666664
69,2018-12-01,15449,680.216,442.3928107646147,225.24416666666664
70,2019-01-01,15851,713.424,435.9582594221349,236.30083333333334
71,2019-02-01,15710,716.88,400.1052330891765,236.30083333333334
72,2019-03-01,18196,809.664,466.90990651041574,236.30083333333334
73,2019-04-01,21091,892.5840000000001,473.9242702628358,236.30083333333334
74,2019-05-01,24771,1042.344,480.2238671749641,236.30083333333334
75,2019-06-01,27468,1186.192,486.3393767125944,236.30083333333334
76,2019-07-01,31294,1347.336,478.35548612115207,236.30083333333334
77,2019-08-01,34863,1385.832,478.13246532492127,236.30083333333334
78,2019-09-01,31178,1134.512,446.0593664149865,236.30083333333334
79,2019-10-01,23565,851.08,432.0606853551793,236.30083333333334
80,2019-11-01,18397,752.968,402.28381194875175,236.30083333333334
81,2019-12-01,18950,839.04,432.4182803700086,236.30083333333334
82,2020-01-01,18641,832.624,477.1570742284614,222.90416666666667
83,2020-02-01,17111,774.224,438.4063405424603,222.90416666666667
84,2020-03-01,17517,779.888,410.07084509411743,222.90416666666667
85,2020-04-01,16117,695.288,305.1656728414677,222.90416666666667
86,2020-05-01,22101,932.824,370.799259771576,222.90416666666667
87,2020-06-01,26127,1061.368,396.76737013290466,222.90416666666667
88,2020-07-01,25739,1014.4159999999999,409.74110697796135,222.90416666666667
89,2020-08-01,29738,1207.592,414.65398059704285,222.90416666666667
90,2020-09-01,25594,950.896,424.1647942875302,222.90416666666667
91,2020-10-01,21309,855.296,433.88690954632966,222.90416666666667
92,2020-11-01,16426,722.824,398.4986073985457,222.90416666666667
93,2020-12-01,17825,816.8,451.80923042413593,222.90416666666667
94,2021-01-01,17984,828.056,409.39054769564956,263.93916666666667
95,2021-02-01,16763,779.5120000000001,382.8420058915091,263.93916666666667
96,2021-03-01,20120,934.92,466.2062912224092,263.93916666666667
97,2021-04-01,18388,853.112,422.037022419939,263.93916666666667
98,2021-05-01,25235,1131.44,404.3606007697481,263.93916666666667
99,2021-06-01,32293,1386.032,423.84425704155313,263.93916666666667
100,2021-07-01,36623,1548.072,459.31568827412883,263.93916666666667
101,2021-08-01,38000,1542.76,490.719515544933,263.93916666666667
102,2021-09-01,31938,1280.672,419.420510408017,263.93916666666667
103,2021-10-01,25568,993.392,404.90239228104963,263.93916666666667
104,2021-11-01,19934,848.656,380.48881213158336,263.93916666666667
105,2021-12-01,19351,893.664,418.0728513830523,263.93916666666667
106,2022-01-01,19223,916.312,403.19931295046626,279.4558333333333
107,2022-02-01,18784,899.936,377.9638404399026,279.4558333333333
108,2022-03-01,24947,1151.088,466.1398491711571,279.4558333333333
109,2022-04-01,25288,1145.752,459.7531512135192,279.4558333333333
110,2022-05-01,33404,1593.016,486.8629807333897,279.4558333333333
111,2022-06-01,34355,1588.6,480.0014313531954,279.4558333333333
112,2022-07-01,39389,1675.096,459.4439789233242,279.4558333333333
113,2022-08-01,42423,1722.832,466.47192311247755,279.4558333333333
114,2022-09-01,40036,1602.104,454.86400653651293,279.4558333333333
115,2022-10-01,29793,1218.752,398.00743707264417,279.4558333333333
116,2022-11-01,22423,1007.432,403.6927719645621,279.4558333333333
117,2022-12-01,22411,1069.0240000000001,433.7114690156763,279.4558333333333
118,2023-01-01,23796,1179.824,424.3742624490196,297.29583333333335
119,2023-02-01,22395,1079.92,396.4088520132864,297.29583333333335
120,2023-03-01,23884,1199.696,428.9484940645541,297.29583333333335
